8.90	3763	61.4F	8.8
8.95	3776	61.4F	8.8
9.00	3791	61.4F	8.8
9.05	3804	61.4F	8.8
9.10	3818	61.4F	8.8
9.15	3832	61.4F	8.8
9.20	3845	61.4F	8.8
9.25	3859	61.4F	8.8
9.30	3872	61.4F	8.8
9.35	3884	61.4F	8.8
9.40	3897	61.4F	8.8
9.45	3909	61.4F	8.8
9.50	3925	61.4F	8.8
9.55	3936	61.4F	8.8
9.60	3949	61.4F	8.8
9.65	3962	61.4F	8.8
9.70	3975	61.4F	8.8
9.75	3987	61.4F	8.8
9.80	3999	61.4F	8.8
9.85	4011	61.4F	8.8
9.90	4023	61.4F	8.8
9.95	4034	61.4F	8.8
10.00	4046	61.4F	8.8
10.05	4057	61.4F	8.8
10.10	4071	61.4F	8.8
10.15	4082	61.4F	8.8
10.20	4094	61.4F	8.8
10.25	4105	61.4F	8.8
10.30	4117	61.4F	8.8
10.35	4127	61.4F	8.8
10.40	4138	61.4F	8.8
10.45	4150	61.4F	8.8
10.50	4159	61.4F	8.8
10.55	4171	61.4F	8.8
10.60	4182	61.4F	8.8
10.65	4193	61.4F	8.8
10.70	4202	61.4F	8.8
10.75	4213	61.4F	8.8
10.80	4224	61.4F	8.8
10.85	4234	61.4F	8.8
10.90	4243	61.4F	8.8
10.95	4253	61.4F	8.8
11.00	4263	61.4F	8.8
11.05	4274	61.4F	8.8
11.10	4284	61.4F	8.8
11.15	4293	61.4F	8.8
11.20	4303	61.4F	8.8
11.25	4311	61.4F	8.8
11.30	4322	61.4F	8.8
11.35	4332	61.4F	8.8
11.40	4339	61.4F	8.8
11.45	4348	61.4F	8.8
11.50	4358	61.4F	8.8
11.55	4365	61.4F	8.8
11.60	4375	61.4F	8.8
11.65	4384	61.4F	8.8
11.70	4392	61.4F	8.8
11.75	4400	61.4F	8.8
11.80	4409	61.4F	8.8
11.85	4419	61.4F	8.8
11.90	4426	61.4F	8.8
11.95	4435	61.4F	8.8
12.00	4444	61.4F	8.8
12.05	4451	61.4F	8.8
12.10	4458	61.4F	8.8
12.15	4468	61.4F	8.8
12.20	4474	61.4F	8.8
12.25	4481	61.4F	8.8
12.30	4488	61.4F	8.8
12.35	4497	61.4F	8.8
12.40	4504	61.4F	8.8
12.45	4513	61.4F	8.8
12.50	4520	61.4F	8.8
12.55	4527	61.4F	8.8
12.60	4534	61.4F	8.8
12.65	4540	61.4F	8.8
12.70	4547	61.4F	8.8
12.75	4554	61.4F	8.8
12.80	4561	61.4F	8.8
12.85	4567	61.4F	8.8
12.90	4572	61.4F	8.8
12.95	4580	61.4F	8.8
13.00	4586	61.4F	8.8
13.05	4592	61.4F	8.8
13.10	4600	61.4F	8.8
13.15	4605	61.4F	8.8
13.20	4611	61.4F	8.8
13.25	4617	61.4F	8.8
13.30	4624	61.4F	8.8
13.35	4630	61.4F	8.8
13.40	4635	61.4F	8.8
13.45	4641	61.4F	8.8
13.50	4646	61.4F	8.8
13.55	4651	61.4F	8.8
13.60	4658	61.4F	8.8
13.65	4662	61.4F	8.8
13.70	4667	61.4F	8.8
13.75	4673	61.4F	8.8
13.80	4676	61.4F	8.8
13.85	4682	61.4F	8.8
13.90	4687	61.4F	8.8
13.95	4692	61.4F	8.8
14.00	4698	61.4F	8.8
14.05	4702	61.4F	8.8
14.10	4706	61.4F	8.8
14.15	4711	61.4F	8.8
